"Speaker","WordCount","Percentage"
"BOYS",8,0.0263157894736842
"CARETAKER",17,0.0559210526315789
"COP",53,0.174342105263158
"HOTEL-CLERK",15,0.0493421052631579
"JIJI",20,0.0657894736842105
"KIKI",127,0.417763157894737
"So",14,0.0460526315789474
"TOMBO",42,0.138157894736842
"WOMAN-BYSTANDER",8,0.0263157894736842
