"Speaker","WordCount","Percentage"
"DORA",83,0.0792741165234002
"FRIEND",21,0.0200573065902579
"FRIENDS",14,0.0133715377268386
"JIJI",95,0.0907354345749761
"KIKI",407,0.38872970391595
"KOKIRI",173,0.16523400191022
"NEIGHBOR",26,0.0248328557784145
"OKINO",92,0.0878701050620821
"RADIO",57,0.0544412607449857
"WITCH",79,0.0754536771728749
