"Speaker","WordCount","Percentage"
"GIRLS",4,0.00664451827242525
"JIJI",65,0.10797342192691
"KIKI",230,0.382059800664452
"OSONO",243,0.403654485049834
"So",3,0.00498338870431894
"Thank",11,0.0182724252491694
"TOMBO",24,0.0398671096345515
"Well",18,0.0299003322259136
"You",4,0.00664451827242525
